SurveyID,SurveyDate
1003253,2010-07-31
1003254,2010-08-16
1003255,2010-08-17
1003256,2010-08-18
1003257,2010-08-19
1003258,2010-08-19
1003259,2010-08-20
1003260,2010-08-22
1003261,2010-08-24
1003262,2010-08-24
1003263,2010-09-13
1003264,2010-09-14
1003265,2010-09-15
1003266,2010-09-16
1003267,2010-09-16
1003268,2010-09-16
1003269,2010-09-17
1003270,2010-09-18
1003271,2010-09-18
1003272,2010-09-24
1003273,2010-09-25
1003274,2010-09-25
1003275,2010-09-26
1003276,2010-09-26
1003277,2010-09-27
1003278,2010-10-12
1003279,2010-10-13
1003280,2010-10-14
1003281,2010-10-16
1003282,2010-10-16
1003283,2010-10-17
1003284,2010-10-17
1003285,2010-10-18
1003286,2010-10-18
1003287,2010-10-18
1003288,2010-10-19
1003289,2010-10-19
1003290,2010-11-28
1003291,2010-12-21
1003292,2010-12-21
1003629,2011-03-07
1003630,2011-03-07
1003631,2011-03-07
1003632,2011-03-07
1003633,2011-03-08
1003634,2011-03-08
1003635,2011-03-08
1003636,2011-03-08
1003637,2011-03-12
1003638,2011-03-12
1003639,2011-03-12
1003640,2011-03-16
1003641,2011-03-16
1003642,2011-03-16
1003643,2011-03-16
1003644,2011-03-16
1003645,2011-03-16
1003646,2011-03-17
1003647,2011-03-17
1003648,2011-03-17
1003649,2011-03-17
1003650,2011-03-17
1003651,2011-03-18
1003652,2011-03-18
1003653,2011-03-18
1003654,2011-03-18
1003655,2011-03-18
1003656,2011-03-18
1003657,2011-03-18
1003658,2011-03-18
1003659,2011-03-19
1003660,2011-03-19
1003661,2011-03-19
1003662,2011-03-20
1003663,2011-03-20
1003664,2011-03-20
1003665,2011-03-20
1003666,2011-03-20
1003667,2011-03-20
1003668,2011-03-20
1003669,2011-03-20
1003670,2011-03-21
1003671,2011-03-21
1003672,2011-03-21
1003673,2011-03-21
1003674,2011-03-21
1003675,2011-03-21
1003676,2011-03-21
1003677,2011-03-21
1003678,2011-03-22
1003679,2011-03-22
1003680,2011-03-22
1003681,2011-03-24
1003682,2011-03-24
1003683,2011-03-24
1003684,2011-03-24
1003685,2011-03-24
1003686,2011-03-24
1003687,2011-03-27
1003688,2011-03-27
1003689,2011-03-27
1003690,2011-03-27
1003691,2011-03-27
1003692,2011-03-28
1003693,2011-03-28
1003694,2011-03-28
1003695,2011-03-28
1003696,2011-03-28
1003697,2011-03-28
1003698,2011-03-28
1003699,2011-03-28
1003745,2010-07-31
1003746,2010-08-16
1003747,2010-08-16
1003748,2010-08-17
1003749,2010-08-17
1003750,2010-08-18
1003751,2010-08-18
1003752,2010-08-19
1003753,2010-08-20
1003754,2010-08-20
1003755,2010-08-20
1003756,2010-08-22
1003759,2010-09-13
1003760,2010-09-14
1003761,2010-09-15
1003762,2010-09-16
1003763,2010-09-16
1003764,2010-09-16
1003765,2010-09-16
1003766,2010-09-16
1003767,2010-09-16
1003768,2010-09-16
1003769,2010-09-16
1003770,2010-09-16
1003771,2010-09-16
1003772,2010-09-24
1003773,2010-09-25
1003774,2010-09-26
1003775,2010-09-26
1003776,2010-09-27
1003777,2010-10-13
1003778,2010-10-14
1003779,2010-10-14
1003780,2010-10-16
1003781,2010-10-16
1003782,2010-10-17
1003783,2010-10-17
1003784,2010-10-18
1003785,2010-10-18
1003786,2010-10-19
1003787,2010-10-19
1003788,2010-11-28
1003793,2010-12-21
2000854,2009-06-27
2000855,2009-09-27
2000856,2009-09-27
2000857,2010-01-26
2000858,2010-01-26
2000859,2009-05-17
2000860,2009-05-17
2000861,2009-05-17
2000862,2008-07-07
2000863,2009-08-02
2000864,2009-08-02
2000865,2009-08-02
2000866,2009-12-13
2000867,2009-12-13
2000868,2009-08-30
2000869,2010-03-26
2000870,2010-03-26
2000871,2010-03-26
2000872,2010-03-26
2000873,2010-03-26
2000874,2010-03-26
2000875,2010-06-10
2000876,2010-06-29
2000877,2010-07-30
2000878,2008-03-26
2000879,2009-08-17
2000880,2009-08-17
2000881,2010-01-26
2000882,2010-01-26
2000883,2009-05-17
2000884,2009-05-17
2000885,2008-08-04
2000886,2010-03-26
2000887,2009-08-03
2000888,2009-08-03
2000889,2009-08-03
2000890,2009-08-03
2000891,2009-08-03
2000892,2009-08-21
2000893,2008-05-23
2000894,2009-02-26
2000895,2009-03-05
2000896,2009-09-01
2000897,2009-09-19
2000898,2009-10-30
2000899,2009-11-02
2000900,2009-11-22
2000901,2009-11-24
2000902,2010-02-24
2000903,2010-06-24
2000904,2010-02-20
2000905,2010-02-20
2000906,2010-02-20
2000907,2009-09-13
2000908,2009-09-13
2000909,2008-02-20
2000910,2008-02-20
2000911,2008-02-20
2000912,2008-02-20
2000913,2008-02-20
2000914,2008-02-20
2000915,2008-02-20
2000916,2008-08-04
2000917,2009-08-03
2000918,2009-08-03
2000919,2009-08-03
2000920,2009-08-03
2000921,2009-08-03
2000922,2009-08-21
2000923,2010-02-20
2000924,2010-02-20
2000925,2010-02-20
2000926,2009-09-13
2000927,2009-09-13
2000928,2010-01-14
2000929,2010-01-14
2000930,2010-01-14
2000931,2010-01-14
2000932,2008-08-09
2000933,2009-12-11
2000934,2009-12-11
2000935,2009-12-11
2000936,2009-12-11
2000937,2009-08-22
2000938,2009-08-22
2000939,2009-08-22
2000940,2010-01-11
2000941,2010-01-11
2000942,2010-01-11
2000943,2010-01-11
2000944,2008-10-20
2000945,2009-08-02
2000946,2009-08-02
2000947,2009-08-22
2000948,2009-08-22
2000949,2009-08-22
2000950,2008-04-01
2000951,2008-04-01
2000952,2010-01-14
2000953,2010-01-14
2000954,2010-01-14
2000955,2010-01-14
2000956,2008-11-01
2000957,2009-12-12
2000958,2009-12-12
2000959,2009-12-12
2000960,2009-12-12
2000961,2009-12-12
2000962,2009-08-23
2000963,2010-01-14
2000964,2010-01-14
2000965,2010-01-14
2000966,2010-01-14
2000967,2009-12-12
2000968,2009-12-12
2000969,2009-12-12
2000970,2009-12-12
2000971,2009-12-12
2000972,2009-12-12
2000973,2009-12-12
2000974,2009-08-23
2000975,2009-08-23
2000976,2009-08-23
2000977,2008-04-07
2000978,2010-02-21
2000979,2010-02-21
2000980,2010-02-21
2000981,2010-02-21
2000982,2008-04-07
2000983,2010-01-26
2000984,2010-01-26
2000985,2009-12-13
2000986,2009-12-13
2000987,2009-12-13
2000988,2009-08-23
2000989,2009-08-23
2000990,2009-08-23
2000991,2009-12-21
2000992,2009-12-21
2000993,2009-12-21
2000994,2009-12-21
2000995,2010-02-21
2000996,2010-02-21
2000997,2010-02-21
2000998,2009-08-23
2000999,2008-04-11
2001000,2008-04-11
2001001,2009-06-09
2001002,2009-06-09
2001003,2009-06-09
2001004,2009-06-09
2001005,2010-01-15
2001006,2010-01-15
2001007,2010-01-15
2001008,2010-01-15
2001009,2009-09-12
2001010,2009-07-31
2001011,2009-07-31
2001012,2009-07-31
2001013,2009-04-26
2001014,2008-03-31
2001015,2008-03-31
2001016,2009-01-16
2001017,2010-01-07
2001018,2010-01-07
2001019,2009-05-14
2001020,2009-05-14
2001021,2010-05-09
2001022,2009-08-01
2001023,2009-08-01
2001024,2009-12-13
2001025,2009-12-13
2001026,2009-03-13
2001027,2009-03-13
2001028,2009-03-13
2001029,2009-03-13
